date       n1 n2 n3 n4 n5 *1 *2
30/12/2016 08 10 22 29 47 01 03
27/12/2016 03 22 25 32 39 07 12
23/12/2016 04 16 20 39 46 02 05
20/12/2016 13 15 17 21 27 02 03
16/12/2016 06 10 30 41 45 04 11
13/12/2016 14 28 29 48 50 02 08
09/12/2016 06 12 28 37 40 01 05
06/12/2016 01 07 11 27 45 04 09
02/12/2016 06 11 23 31 32 02 12
29/11/2016 21 26 27 28 38 09 11
25/11/2016 05 11 17 23 28 10 11
22/11/2016 05 10 33 34 47 02 10
18/11/2016 03 12 27 32 47 06 08
15/11/2016 07 15 36 42 48 03 07
11/11/2016 03 22 23 38 49 02 09
08/11/2016 05 09 47 49 50 08 09
04/11/2016 07 11 12 44 48 03 07
01/11/2016 06 10 20 29 37 01 09
28/10/2016 10 16 19 23 43 02 08
25/10/2016 03 15 20 21 28 01 05
21/10/2016 09 20 23 44 48 08 10
18/10/2016 02 17 21 25 27 06 09
14/10/2016 07 13 19 31 34 01 11
11/10/2016 05 12 20 24 37 04 11
07/10/2016 02 12 20 27 30 09 11
04/10/2016 04 07 14 34 38 04 11
30/09/2016 17 35 37 43 44 02 10
27/09/2016 06 09 13 39 41 02 12
23/09/2016 14 16 39 42 49 03 09
20/09/2016 01 04 10 41 45 06 09
16/09/2016 05 08 14 22 32 02 11
13/09/2016 04 07 16 35 44 01 03
09/09/2016 04 11 15 17 28 01 03
06/09/2016 12 24 30 34 45 07 10
02/09/2016 08 16 32 40 50 02 11
30/08/2016 13 16 29 35 42 06 08
26/08/2016 01 09 28 30 48 07 08
23/08/2016 02 23 31 37 45 04 08
19/08/2016 05 06 22 25 34 05 07
16/08/2016 02 26 34 37 46 04 08
12/08/2016 02 15 28 36 50 02 11
09/08/2016 12 19 43 44 45 05 10
05/08/2016 16 19 24 35 37 02 07
02/08/2016 02 08 27 38 46 02 06
29/07/2016 01 21 26 40 50 02 04
26/07/2016 03 10 13 45 49 02 11
22/07/2016 07 24 26 37 45 05 09
19/07/2016 19 24 28 36 37 03 06
15/07/2016 02 11 13 14 21 01 08
12/07/2016 03 07 26 33 41 02 10
08/07/2016 08 12 18 33 44 04 08
05/07/2016 01 10 29 38 48 03 04
01/07/2016 02 11 13 40 50 01 10
28/06/2016 26 32 37 43 49 04 05
24/06/2016 11 19 27 28 39 03 10
21/06/2016 05 17 32 35 49 01 05
17/06/2016 01 07 18 27 43 04 08
14/06/2016 13 34 39 42 50 09 11
10/06/2016 14 21 35 42 43 07 09
07/06/2016 19 26 35 45 49 02 05
03/06/2016 07 23 31 33 39 06 10
31/05/2016 06 12 26 30 48 06 07
27/05/2016 13 25 27 43 46 04 08
24/05/2016 16 17 23 34 37 06 09
20/05/2016 09 14 30 41 45 04 09
17/05/2016 15 27 32 36 39 03 10
13/05/2016 07 15 28 31 42 10 11
10/05/2016 02 26 27 40 49 05 10
06/05/2016 32 34 40 45 48 01 10
03/05/2016 08 23 24 34 38 03 07
29/04/2016 04 05 25 28 43 06 11
26/04/2016 10 17 31 32 42 02 05
22/04/2016 17 26 32 34 43 02 10
19/04/2016 11 14 15 27 44 02 07
15/04/2016 13 14 32 37 48 01 07
12/04/2016 01 05 09 22 38 02 10
08/04/2016 06 08 26 43 49 06 10
05/04/2016 03 05 09 19 40 02 05
01/04/2016 02 16 23 25 49 06 09
29/03/2016 01 04 19 25 36 03 11
25/03/2016 12 19 36 42 43 05 08
22/03/2016 12 15 26 42 49 05 08
18/03/2016 14 19 21 24 49 05 11
15/03/2016 05 07 10 34 44 02 10
11/03/2016 01 21 26 40 43 06 09
08/03/2016 01 08 09 14 23 01 07
04/03/2016 09 14 16 23 40 01 05
01/03/2016 04 07 13 28 37 10 11
26/02/2016 05 13 15 33 50 09 11
23/02/2016 23 25 32 37 42 01 11
19/02/2016 13 14 30 32 39 03 09
16/02/2016 03 10 22 37 50 06 10
12/02/2016 03 20 28 31 49 02 05
09/02/2016 06 09 13 28 37 04 05
05/02/2016 03 27 32 41 46 04 08
02/02/2016 06 09 10 21 36 02 06
29/01/2016 01 05 23 29 32 01 07
26/01/2016 15 24 38 40 48 02 09
22/01/2016 10 12 27 30 47 08 09
19/01/2016 02 30 38 43 46 02 07
15/01/2016 10 19 38 43 46 01 11
12/01/2016 01 02 10 30 44 01 08
08/01/2016 05 26 33 35 40 03 08
05/01/2016 06 10 31 36 39 06 10
01/01/2016 04 37 38 39 44 04 07
