date       n1 n2 n3 n4 n5 *1 *2
30/10/2018 17 23 27 43 44 01 12
26/10/2018 05 18 21 31 35 06 09
23/10/2018 01 02 05 21 32 02 12
19/10/2018 01 03 29 47 48 03 12
16/10/2018 15 28 37 40 42 01 06
12/10/2018 04 09 12 31 43 05 08
09/10/2018 03 12 36 44 45 08 11
05/10/2018 08 16 24 26 35 03 11
02/10/2018 07 17 29 37 45 03 11
28/09/2018 02 04 08 27 50 02 09
25/09/2018 06 15 20 30 38 04 07
21/09/2018 05 07 21 25 37 03 04
18/09/2018 03 08 10 32 45 04 12
14/09/2018 01 03 33 40 45 03 04
11/09/2018 09 18 32 38 46 02 03
07/09/2018 04 23 27 31 50 01 08
04/09/2018 05 14 28 30 47 04 11
31/08/2018 04 30 31 38 42 04 06
28/08/2018 04 16 32 42 46 08 12
24/08/2018 03 14 31 36 50 01 12
21/08/2018 16 23 42 43 49 10 12
17/08/2018 02 15 18 24 43 08 12
14/08/2018 01 15 18 25 31 09 11
10/08/2018 18 20 36 43 44 03 09
07/08/2018 16 28 29 30 36 08 10
03/08/2018 07 26 36 38 43 06 12
31/07/2018 20 25 34 42 45 06 11
27/07/2018 11 17 22 23 41 06 11
24/07/2018 02 04 23 39 40 03 09
20/07/2018 02 15 40 43 46 03 06
17/07/2018 04 06 27 48 50 01 11
13/07/2018 01 04 14 21 49 02 12
10/07/2018 03 08 26 33 45 07 10
06/07/2018 08 30 33 38 48 02 10
03/07/2018 01 12 15 29 48 03 05
29/06/2018 15 21 23 40 48 03 12
26/06/2018 15 16 20 34 50 04 07
22/06/2018 14 25 39 41 44 02 08
19/06/2018 07 19 26 42 50 04 09
15/06/2018 23 26 33 38 49 01 12
12/06/2018 07 21 23 36 38 06 08
08/06/2018 08 19 32 43 46 02 08
05/06/2018 09 15 22 39 46 04 05
01/06/2018 17 18 24 29 40 04 05
29/05/2018 06 11 20 38 43 02 04
25/05/2018 13 15 16 28 41 04 05
22/05/2018 01 11 37 41 48 08 12
18/05/2018 05 08 10 13 31 03 06
15/05/2018 04 16 20 31 39 02 12
11/05/2018 03 22 34 49 50 08 11
08/05/2018 17 25 35 39 44 02 05
04/05/2018 06 12 23 39 45 09 12
01/05/2018 06 15 17 42 48 04 06
27/04/2018 12 24 40 41 46 05 12
24/04/2018 20 23 28 30 44 03 07
20/04/2018 03 16 25 39 44 07 11
17/04/2018 15 27 33 39 50 04 06
13/04/2018 05 25 34 48 50 06 07
10/04/2018 14 27 39 46 48 11 12
06/04/2018 01 29 33 45 47 04 08
03/04/2018 03 08 16 40 43 05 08
30/03/2018 12 17 28 35 47 07 11
27/03/2018 17 20 23 40 46 09 10
23/03/2018 05 07 11 46 50 08 11
20/03/2018 26 29 37 39 44 09 11
16/03/2018 04 17 24 27 31 10 11
13/03/2018 09 11 13 33 49 06 12
09/03/2018 09 14 21 32 44 01 12
06/03/2018 15 20 26 31 44 02 09
02/03/2018 02 07 34 45 48 01 12
27/02/2018 03 31 41 48 50 08 11
23/02/2018 10 17 18 28 47 03 07
20/02/2018 06 14 19 25 29 05 11
16/02/2018 10 12 23 32 50 04 10
13/02/2018 10 13 17 21 44 01 10
09/02/2018 22 31 36 38 44 01 11
06/02/2018 08 17 28 34 38 06 12
02/02/2018 14 34 36 39 48 02 03
30/01/2018 11 15 21 27 35 04 05
26/01/2018 06 15 24 28 48 04 09
23/01/2018 05 08 09 23 24 07 08
19/01/2018 03 08 17 44 50 02 07
16/01/2018 20 23 31 34 46 03 12
12/01/2018 13 21 23 30 45 04 06
09/01/2018 06 12 15 38 49 02 09
05/01/2018 02 05 20 38 41 04 08
02/01/2018 10 20 21 28 48 01 08
