date       n1 n2 n3 n4 n5 *1 *2
11/12/2020 06 09 13 24 41 03 12
08/12/2020 01 04 21 24 46 02 12
04/12/2020 14 20 27 34 38 01 11
01/12/2020 14 20 29 47 49 04 12
27/11/2020 02 05 08 14 16 08 09
24/11/2020 25 33 38 42 50 08 12
20/11/2020 28 29 39 48 50 05 07
17/11/2020 16 19 25 30 44 02 06
13/11/2020 01 05 17 28 31 01 10
10/11/2020 03 19 29 32 38 05 12
06/11/2020 07 12 37 40 50 01 02
03/11/2020 05 07 18 20 30 06 07
30/10/2020 12 16 20 21 28 03 09
27/10/2020 13 15 28 32 44 03 12
23/10/2020 10 15 19 21 23 03 12
20/10/2020 05 06 15 37 42 03 04
16/10/2020 15 33 38 40 50 03 06
13/10/2020 05 14 38 41 46 01 10
09/10/2020 11 15 35 41 50 05 08
06/10/2020 04 21 36 41 47 09 11
02/10/2020 06 12 15 40 45 03 09
29/09/2020 04 14 16 41 44 11 12
25/09/2020 19 23 34 37 45 01 07
22/09/2020 16 25 28 39 40 01 06
18/09/2020 02 10 19 25 45 01 07
15/09/2020 16 20 25 30 38 06 08
11/09/2020 34 38 42 43 45 09 12
08/09/2020 02 09 31 35 41 09 12
04/09/2020 06 22 29 40 43 04 07
01/09/2020 04 08 10 33 46 08 11
28/08/2020 07 12 16 17 31 07 09
25/08/2020 07 18 30 37 39 08 10
21/08/2020 10 15 35 44 50 03 05
18/08/2020 06 12 17 34 42 05 12
14/08/2020 09 10 19 42 49 04 12
11/08/2020 08 13 14 42 50 03 09
07/08/2020 05 20 21 36 41 06 11
04/08/2020 01 02 05 15 42 05 08
31/07/2020 21 24 30 46 49 02 05
28/07/2020 09 13 15 17 34 02 07
24/07/2020 08 09 27 28 50 04 12
21/07/2020 14 15 24 29 42 02 04
17/07/2020 07 15 27 41 43 07 09
14/07/2020 11 22 30 37 47 09 10
10/07/2020 15 17 23 30 38 02 07
07/07/2020 12 16 23 33 41 08 10
03/07/2020 04 16 27 37 39 03 06
30/06/2020 01 06 11 28 42 02 10
26/06/2020 01 10 12 21 26 05 11
23/06/2020 02 12 19 46 49 01 08
19/06/2020 05 14 19 24 43 03 11
16/06/2020 04 09 11 17 39 02 10
12/06/2020 02 24 39 45 46 04 08
09/06/2020 05 15 27 36 46 02 08
05/06/2020 05 11 17 24 37 03 06
02/06/2020 10 12 22 26 49 07 11
29/05/2020 04 08 11 19 46 04 08
26/05/2020 04 09 14 21 27 04 06
22/05/2020 03 18 22 27 32 02 07
19/05/2020 05 25 32 37 43 06 07
15/05/2020 11 23 32 34 39 01 06
12/05/2020 09 16 29 37 39 04 11
08/05/2020 08 25 32 33 38 07 09
05/05/2020 02 10 22 27 41 02 03
01/05/2020 19 20 38 45 47 02 06
28/04/2020 15 23 26 28 32 01 05
24/04/2020 01 05 19 21 28 04 07
21/04/2020 10 11 14 23 28 06 08
17/04/2020 16 28 32 37 45 01 11
14/04/2020 06 29 34 35 40 04 11
10/04/2020 03 10 17 33 39 01 04
07/04/2020 04 05 14 33 48 07 12
03/04/2020 16 19 34 46 50 02 06
31/03/2020 12 17 24 30 36 01 09
27/03/2020 11 14 27 41 46 02 03
24/03/2020 07 12 26 30 33 10 11
20/03/2020 03 09 20 34 40 06 12
17/03/2020 05 07 08 16 20 02 12
13/03/2020 03 11 21 27 36 09 10
10/03/2020 11 23 30 37 43 05 12
06/03/2020 15 38 43 45 46 01 11
03/03/2020 04 14 27 44 45 01 10
28/02/2020 08 11 20 22 23 03 04
25/02/2020 01 04 18 27 42 04 06
21/02/2020 07 23 30 32 45 05 09
18/02/2020 11 32 34 38 47 02 10
14/02/2020 05 20 35 41 49 06 10
11/02/2020 24 26 32 43 46 06 10
07/02/2020 09 15 17 25 40 03 09
04/02/2020 21 23 33 35 47 06 07
31/01/2020 13 18 20 23 30 02 04
28/01/2020 01 19 27 31 38 04 05
24/01/2020 03 04 06 09 24 05 08
21/01/2020 10 11 24 36 46 03 05
17/01/2020 08 19 20 29 44 03 08
14/01/2020 21 25 29 39 44 08 09
10/01/2020 06 17 32 44 46 02 06
07/01/2020 05 08 12 37 43 06 11
03/01/2020 05 15 20 36 47 08 12
