date       n1 n2 n3 n4 n5 *1 *2
15/11/2019 03 13 20 32 34 04 11
12/11/2019 01 21 23 25 39 02 04
08/11/2019 08 17 20 23 45 02 08
05/11/2019 09 14 25 33 48 02 12
01/11/2019 02 20 39 44 48 05 07
29/10/2019 16 18 28 42 49 05 10
25/10/2019 34 37 39 40 50 04 10
22/10/2019 02 05 32 33 47 07 08
18/10/2019 08 18 22 41 42 11 12
15/10/2019 03 28 31 32 34 04 05
11/10/2019 02 14 19 42 45 05 06
08/10/2019 07 10 15 44 49 03 12
04/10/2019 06 09 35 41 44 06 09
01/10/2019 02 11 18 40 46 01 04
27/09/2019 24 37 41 43 46 02 08
24/09/2019 02 33 42 47 48 01 02
20/09/2019 08 21 25 38 50 04 08
17/09/2019 22 37 43 44 45 01 12
13/09/2019 01 12 27 42 47 06 07
10/09/2019 03 22 25 30 49 03 06
06/09/2019 10 13 22 40 48 02 05
03/09/2019 07 11 38 39 44 07 10
30/08/2019 25 27 45 46 49 04 06
27/08/2019 08 26 35 43 47 01 09
23/08/2019 04 17 35 42 45 02 08
20/08/2019 20 22 23 24 37 01 04
16/08/2019 09 10 27 37 42 01 05
13/08/2019 13 29 31 33 40 02 03
09/08/2019 02 14 35 41 42 10 11
06/08/2019 12 13 29 36 38 04 12
02/08/2019 13 22 33 44 50 02 05
30/07/2019 15 20 23 27 40 03 06
26/07/2019 02 05 27 37 42 03 10
23/07/2019 01 14 19 23 38 03 07
19/07/2019 13 14 17 26 28 02 07
16/07/2019 03 05 13 18 39 07 08
12/07/2019 02 31 39 45 47 04 08
09/07/2019 07 29 32 36 41 06 07
05/07/2019 02 09 20 34 42 06 09
02/07/2019 11 19 29 44 45 08 12
28/06/2019 01 03 16 33 49 02 11
25/06/2019 06 26 27 34 46 01 09
21/06/2019 05 08 09 25 39 03 07
18/06/2019 12 24 37 40 44 03 07
14/06/2019 01 13 30 31 39 02 07
11/06/2019 25 27 39 42 46 11 12
07/06/2019 01 04 16 20 34 02 05
04/06/2019 09 31 32 39 41 02 08
31/05/2019 01 23 24 26 35 01 11
28/05/2019 07 19 20 28 29 01 05
24/05/2019 05 16 23 30 49 06 07
21/05/2019 32 33 34 39 47 08 12
17/05/2019 16 28 42 43 45 06 07
14/05/2019 10 14 17 25 50 02 10
10/05/2019 01 04 27 45 48 01 07
07/05/2019 07 20 26 32 47 02 11
03/05/2019 02 09 20 27 43 05 06
30/04/2019 05 12 20 26 48 02 11
26/04/2019 14 33 35 47 50 09 11
23/04/2019 18 23 27 42 44 02 07
19/04/2019 07 08 32 41 49 05 11
16/04/2019 01 08 15 44 49 02 11
12/04/2019 01 28 35 36 46 06 09
09/04/2019 18 21 29 38 41 01 11
05/04/2019 01 07 10 29 45 03 05
02/04/2019 02 09 16 26 36 06 07
29/03/2019 13 23 26 32 47 06 10
26/03/2019 12 19 23 43 47 02 06
22/03/2019 04 17 26 30 43 06 11
19/03/2019 01 06 09 34 47 07 12
15/03/2019 03 15 24 42 46 09 12
12/03/2019 05 07 13 19 31 02 09
08/03/2019 17 18 19 24 40 04 08
05/03/2019 06 10 16 39 46 08 11
01/03/2019 06 09 19 26 31 11 12
26/02/2019 03 15 29 35 47 03 04
22/02/2019 03 27 29 33 50 03 07
19/02/2019 01 08 18 19 39 07 09
15/02/2019 15 27 34 38 49 02 10
12/02/2019 06 34 36 41 50 01 05
08/02/2019 11 12 13 39 46 07 10
05/02/2019 14 25 31 37 43 02 03
01/02/2019 03 21 26 41 46 01 06
29/01/2019 14 24 26 32 39 03 08
25/01/2019 01 06 13 15 16 06 10
22/01/2019 09 23 29 41 49 08 10
18/01/2019 05 06 16 30 46 05 10
15/01/2019 22 25 29 33 35 03 06
11/01/2019 01 19 31 39 48 01 06
08/01/2019 03 19 22 31 32 02 11
04/01/2019 07 11 19 27 37 06 10
01/01/2019 01 08 11 25 28 04 06
