date       n1 n2 n3 n4 n5 *1 *2
03/12/2021 21 22 29 32 46 09 10
30/11/2021 19 20 26 33 43 01 04
26/11/2021 01 20 41 42 50 03 07
23/11/2021 17 21 36 42 46 07 10
19/11/2021 22 26 38 47 50 02 06
16/11/2021 09 19 21 32 36 03 04
12/11/2021 02 09 15 47 50 06 09
09/11/2021 17 25 26 33 36 01 08
05/11/2021 02 12 25 30 41 08 11
02/11/2021 02 03 17 29 43 01 04
29/10/2021 10 15 28 32 49 03 09
26/10/2021 12 15 20 42 44 01 02
22/10/2021 12 17 22 33 39 02 12
19/10/2021 04 20 36 40 41 01 06
15/10/2021 21 26 31 34 49 02 05
12/10/2021 06 13 22 45 49 10 11
08/10/2021 01 10 23 42 46 03 05
05/10/2021 11 13 14 36 45 07 09
01/10/2021 01 15 19 26 48 06 12
28/09/2021 06 07 12 33 39 01 07
24/09/2021 02 12 20 27 41 10 12
21/09/2021 20 25 26 30 38 02 08
17/09/2021 05 07 08 10 34 01 09
14/09/2021 12 18 35 38 45 02 08
10/09/2021 01 06 07 18 28 02 08
07/09/2021 07 19 35 42 43 07 09
03/09/2021 05 07 13 29 35 03 07
31/08/2021 05 13 17 32 43 02 10
27/08/2021 02 03 31 46 50 08 12
24/08/2021 19 21 36 44 50 03 10
20/08/2021 03 09 19 20 23 09 11
17/08/2021 12 31 41 42 47 04 06
13/08/2021 06 12 44 47 49 08 12
10/08/2021 09 37 47 48 49 02 07
06/08/2021 07 14 21 26 32 04 12
03/08/2021 17 21 23 45 46 07 11
30/07/2021 10 23 33 35 37 05 10
27/07/2021 05 09 19 21 25 10 12
23/07/2021 23 24 26 34 50 02 04
20/07/2021 03 12 19 41 48 06 09
16/07/2021 05 16 42 47 49 03 11
13/07/2021 05 06 08 11 22 03 04
09/07/2021 06 19 36 37 49 04 11
06/07/2021 02 05 21 27 42 09 11
02/07/2021 09 14 29 38 49 07 10
29/06/2021 06 12 20 24 48 05 06
25/06/2021 01 29 30 33 36 03 12
22/06/2021 06 24 26 27 41 03 08
18/06/2021 11 20 27 30 41 03 05
15/06/2021 11 21 26 30 31 02 03
11/06/2021 09 17 21 33 39 07 11
08/06/2021 02 11 26 36 47 07 09
04/06/2021 07 20 36 40 46 02 04
01/06/2021 03 10 26 35 44 06 07
28/05/2021 11 13 16 34 40 01 12
25/05/2021 01 21 26 30 38 02 08
21/05/2021 02 09 13 15 35 03 10
18/05/2021 05 13 38 39 40 04 12
14/05/2021 06 16 18 29 38 06 11
11/05/2021 14 25 34 43 46 05 06
07/05/2021 14 22 33 38 47 08 09
04/05/2021 03 10 13 28 46 04 11
30/04/2021 01 16 24 28 46 02 11
27/04/2021 13 14 24 35 49 01 10
23/04/2021 03 14 15 19 29 02 08
20/04/2021 05 17 28 41 46 10 11
16/04/2021 06 11 29 40 48 05 09
13/04/2021 16 20 31 47 50 02 08
09/04/2021 02 08 32 35 44 08 11
06/04/2021 02 21 37 38 50 07 08
02/04/2021 04 21 34 40 47 02 05
30/03/2021 24 27 28 29 42 04 08
26/03/2021 10 12 37 49 50 03 08
23/03/2021 02 26 29 36 49 03 09
19/03/2021 03 09 35 43 44 01 10
16/03/2021 23 25 32 35 47 02 06
12/03/2021 04 06 09 11 44 10 11
09/03/2021 01 16 21 32 33 11 12
05/03/2021 04 05 39 46 48 07 10
02/03/2021 02 19 24 26 49 06 07
26/02/2021 06 12 22 29 33 06 11
23/02/2021 09 18 30 39 45 01 03
19/02/2021 04 12 25 46 48 07 12
16/02/2021 05 09 25 29 30 06 07
12/02/2021 07 23 30 32 36 08 12
09/02/2021 05 10 24 31 37 09 10
05/02/2021 12 19 37 44 45 02 06
02/02/2021 18 20 35 38 48 09 12
29/01/2021 01 05 27 36 42 01 06
26/01/2021 05 07 25 37 40 02 08
22/01/2021 08 16 42 44 47 06 07
19/01/2021 25 27 31 35 43 05 06
15/01/2021 04 10 27 38 40 03 11
12/01/2021 02 10 18 34 35 06 09
08/01/2021 18 23 37 41 42 04 06
05/01/2021 12 34 37 38 42 01 03
01/01/2021 16 28 32 44 48 01 09
