date       n1 n2 n3 n4 n5 *1 *2
29/12/2015 05 20 31 32 36 06 07
25/12/2015 03 10 25 27 40 03 09
22/12/2015 18 19 20 40 41 07 10
18/12/2015 06 22 26 29 48 05 06
15/12/2015 08 11 23 27 35 04 11
11/12/2015 03 05 21 40 43 06 11
08/12/2015 12 17 29 38 48 09 11
04/12/2015 08 17 18 27 39 01 07
01/12/2015 02 15 25 35 45 08 10
27/11/2015 16 29 30 37 50 06 08
24/11/2015 09 14 16 17 26 10 11
20/11/2015 04 30 34 46 49 07 08
17/11/2015 06 07 23 37 38 10 11
13/11/2015 10 17 18 33 40 02 08
10/11/2015 06 13 18 39 43 02 08
06/11/2015 03 17 26 38 40 04 10
03/11/2015 08 27 39 46 49 02 06
30/10/2015 08 13 17 21 34 06 07
27/10/2015 11 12 20 25 36 06 09
23/10/2015 07 25 30 32 39 02 08
20/10/2015 17 19 21 30 45 08 10
16/10/2015 07 28 29 43 48 03 10
13/10/2015 12 15 26 29 47 03 11
09/10/2015 01 40 42 43 47 09 11
06/10/2015 11 20 22 29 32 01 08
02/10/2015 07 18 21 32 35 02 11
29/09/2015 11 14 26 29 49 03 09
25/09/2015 13 14 23 30 37 02 08
22/09/2015 14 23 26 27 29 07 10
18/09/2015 07 29 33 34 39 07 08
15/09/2015 08 15 17 44 49 05 08
11/09/2015 10 18 19 29 50 01 09
08/09/2015 14 16 39 40 42 01 04
04/09/2015 08 09 27 45 50 08 10
01/09/2015 06 19 21 27 45 01 08
28/08/2015 11 29 30 31 34 04 07
25/08/2015 27 31 33 42 50 02 05
21/08/2015 04 16 18 43 47 06 10
18/08/2015 07 10 11 12 19 02 09
14/08/2015 04 07 39 44 45 03 05
11/08/2015 02 03 08 15 16 04 11
07/08/2015 01 05 21 39 44 04 11
04/08/2015 10 15 39 45 50 09 10
31/07/2015 16 21 34 40 50 06 09
28/07/2015 23 32 36 43 49 07 08
24/07/2015 02 09 21 35 46 02 11
21/07/2015 14 20 27 29 44 07 10
17/07/2015 01 21 22 43 48 07 09
14/07/2015 06 18 19 34 36 01 08
10/07/2015 05 08 15 35 41 04 05
07/07/2015 06 07 18 33 41 03 10
03/07/2015 11 12 15 18 44 03 09
30/06/2015 11 15 28 34 37 01 08
26/06/2015 03 06 10 19 24 05 07
23/06/2015 04 16 22 38 49 06 09
19/06/2015 07 14 20 31 42 03 09
16/06/2015 10 15 16 36 37 03 09
12/06/2015 05 08 10 11 37 07 09
09/06/2015 05 09 17 32 34 06 08
05/06/2015 02 07 08 45 48 01 09
02/06/2015 07 23 29 37 41 01 08
29/05/2015 03 04 20 45 48 06 08
26/05/2015 05 06 07 21 24 05 06
22/05/2015 18 24 35 44 45 05 11
19/05/2015 26 30 31 35 37 08 11
15/05/2015 05 35 42 44 47 08 09
12/05/2015 14 29 30 40 46 03 06
08/05/2015 07 14 19 47 49 03 10
05/05/2015 01 10 17 20 42 08 09
01/05/2015 03 19 20 25 26 06 10
28/04/2015 24 26 28 36 45 07 10
24/04/2015 05 19 29 31 40 03 10
21/04/2015 06 14 17 42 45 01 08
17/04/2015 02 24 30 34 39 08 11
14/04/2015 24 32 34 35 49 01 02
10/04/2015 22 23 25 30 43 05 09
07/04/2015 18 25 39 44 50 05 08
03/04/2015 27 29 37 39 49 02 04
31/03/2015 08 20 24 28 49 08 09
27/03/2015 02 30 32 39 44 06 10
24/03/2015 10 24 26 39 40 03 10
20/03/2015 03 14 37 42 48 01 10
17/03/2015 11 23 26 38 44 01 08
13/03/2015 04 05 18 22 23 01 03
10/03/2015 02 06 23 30 31 02 10
06/03/2015 23 30 47 49 50 02 07
03/03/2015 06 08 11 13 21 07 08
27/02/2015 05 14 17 25 47 09 10
24/02/2015 03 25 28 34 50 01 11
20/02/2015 04 10 14 37 46 04 07
17/02/2015 02 05 18 30 43 01 10
13/02/2015 12 24 39 42 44 03 11
10/02/2015 13 17 20 30 45 09 10
06/02/2015 10 26 30 39 50 07 08
03/02/2015 17 31 33 44 50 07 11
30/01/2015 09 13 15 19 24 03 08
27/01/2015 05 10 31 33 40 08 10
23/01/2015 06 29 30 38 45 01 08
20/01/2015 15 33 41 44 47 08 10
16/01/2015 29 30 32 34 46 03 06
13/01/2015 08 17 21 31 34 09 10
09/01/2015 06 21 24 32 45 01 11
06/01/2015 14 20 30 38 49 03 04
02/01/2015 22 24 25 28 49 03 06
