date       n1 n2 n3 n4 n5 *1 *2
28/12/2012 17 24 26 27 49 03 05
25/12/2012 14 18 20 23 32 03 10
21/12/2012 03 05 22 40 42 03 10
18/12/2012 14 18 20 35 44 02 05
14/12/2012 10 11 29 40 43 03 11
11/12/2012 01 04 09 43 50 06 08
07/12/2012 10 16 18 31 42 02 05
04/12/2012 05 10 28 29 44 02 04
30/11/2012 10 18 23 24 40 03 04
27/11/2012 06 10 23 44 49 01 07
23/11/2012 01 09 11 20 40 01 05
20/11/2012 28 30 42 45 49 05 10
16/11/2012 10 15 19 23 41 02 09
13/11/2012 11 16 21 24 29 02 06
09/11/2012 14 21 22 28 47 04 05
06/11/2012 07 20 25 35 41 01 09
02/11/2012 03 06 10 11 44 03 04
30/10/2012 23 24 25 31 44 02 03
26/10/2012 05 06 09 27 38 05 11
23/10/2012 01 28 35 38 50 02 10
19/10/2012 16 29 37 40 44 08 10
16/10/2012 10 32 40 41 49 02 08
12/10/2012 06 07 17 35 43 02 08
09/10/2012 02 08 10 23 25 08 09
05/10/2012 09 16 18 19 21 02 03
02/10/2012 04 16 21 36 42 07 08
28/09/2012 20 23 26 30 33 06 09
25/09/2012 07 25 27 48 49 01 04
21/09/2012 04 19 34 41 43 07 11
18/09/2012 06 07 38 39 44 07 09
14/09/2012 03 10 23 27 44 07 09
11/09/2012 06 15 22 37 44 02 04
07/09/2012 13 15 30 35 42 04 06
04/09/2012 11 17 18 39 44 05 10
31/08/2012 16 28 31 33 48 07 11
28/08/2012 01 18 25 26 44 04 05
24/08/2012 05 06 12 19 37 03 07
21/08/2012 04 05 17 38 48 03 04
17/08/2012 19 25 28 33 44 02 08
14/08/2012 01 16 38 42 45 09 10
10/08/2012 11 17 21 48 50 09 10
07/08/2012 20 27 34 46 50 02 03
03/08/2012 24 34 35 42 46 01 05
31/07/2012 04 29 35 36 39 08 09
27/07/2012 14 15 21 23 48 02 10
24/07/2012 04 16 18 25 44 01 11
20/07/2012 10 19 23 45 49 09 10
17/07/2012 02 07 24 43 46 08 10
13/07/2012 08 18 25 35 46 04 09
10/07/2012 01 03 16 24 37 01 08
06/07/2012 31 32 38 40 42 01 03
03/07/2012 02 07 22 27 40 03 06
29/06/2012 14 17 28 29 39 01 11
26/06/2012 01 11 20 22 35 08 10
22/06/2012 14 18 19 43 49 03 07
19/06/2012 07 17 20 35 50 05 11
15/06/2012 10 22 27 38 48 03 07
12/06/2012 08 15 26 30 48 09 10
08/06/2012 05 11 22 34 40 09 11
05/06/2012 13 34 37 47 49 08 09
01/06/2012 02 04 14 26 36 09 10
29/05/2012 08 15 17 25 28 03 11
25/05/2012 12 22 35 46 49 02 08
22/05/2012 16 31 32 37 41 01 07
18/05/2012 13 29 43 47 50 09 11
15/05/2012 02 11 13 26 50 02 05
11/05/2012 01 13 17 38 44 02 11
08/05/2012 03 21 34 38 48 05 08
04/05/2012 03 26 39 40 41 01 02
01/05/2012 04 05 15 19 41 09 11
27/04/2012 20 27 30 36 43 01 06
24/04/2012 08 09 24 43 48 03 05
20/04/2012 03 06 29 32 41 10 11
17/04/2012 10 28 33 48 49 01 10
13/04/2012 08 13 26 39 43 03 05
10/04/2012 22 25 27 36 37 05 09
06/04/2012 11 20 30 35 45 02 03
03/04/2012 01 08 18 25 30 09 10
30/03/2012 04 17 23 36 46 06 10
27/03/2012 24 27 29 34 36 07 08
23/03/2012 09 15 23 31 50 08 11
20/03/2012 15 16 28 30 46 03 04
16/03/2012 03 04 12 23 50 04 07
13/03/2012 01 10 25 43 47 08 09
09/03/2012 03 32 36 39 47 06 09
06/03/2012 23 24 27 37 47 02 06
02/03/2012 05 06 11 30 44 02 06
28/02/2012 01 10 17 33 48 02 03
24/02/2012 03 07 12 26 34 08 10
21/02/2012 11 14 24 25 29 07 11
17/02/2012 04 11 28 38 47 10 11
14/02/2012 14 27 36 42 46 08 11
10/02/2012 03 08 14 31 41 07 11
07/02/2012 03 15 17 28 33 02 04
03/02/2012 16 19 20 25 28 01 10
31/01/2012 09 34 38 43 45 02 04
27/01/2012 10 13 19 39 44 02 06
24/01/2012 01 02 06 20 36 08 11
20/01/2012 02 10 22 27 28 06 08
17/01/2012 12 22 30 31 44 05 06
13/01/2012 13 14 21 27 39 06 08
10/01/2012 04 09 10 30 40 02 09
06/01/2012 01 06 10 12 31 02 07
03/01/2012 03 30 42 45 49 05 10
